B00,King's Pawn Opening; B00,e2e4,
A40,Queen's Pawn Opening; A40,d2d4,
A00,Anderssen's Opening,a2a3,
A00,"Polish Gambit, Anderssen's Opening",a2a3 a7a5 b2b4,
A00,Creepy Crawly Formation,a2a3 e7e5 h2h3 d7d5,
A00,Andersspike,a2a3 g7g6 g2g4,
A00,Ware; Meadow Hay; Crab,a2a4,
A00,"Wing Gambit, Ware Opening",a2a4 b7b5,
A00,"Cologne Gambit, Ware Opening",a2a4 b7b6 d2d4 d7d5 b1c3 b8d7,
A00,Ware Gambit,a2a4 e7e5 a4a5 d7d5 e2e3 f7f5 a5a6,
A01,Larsen; Queen's Fianchetto; Nimzo-Larsen Attack A01,b2b3,
A01,"Symmetrical Variation, Larsen",b2b3 b7b6,
A01,"English Variation, Larsen",b2b3 c7c5,
A01,"Classical Variation, Larsen",b2b3 d7d5,
A01,"Modern Variation, Larsen",b2b3 e7e5,
A01,"Ringelbach Gambit, Larsen",b2b3 e7e5 c1b2 f7f5 e2e4,
A01,"Paschmann Gambit, Larsen",b2b3 e7e5 c1b2 b8c6 f2f4,
A01,"Dutch Variation, Larsen",b2b3 f7f5,
A01,"Indian Variation, Larsen",b2b3 g8f6,
A01,"Spike Variation, Larsen",b2b3 g8f6 c1b2 g7g6 g2g4,
A00,Polish; Orangutan; Sokolsky; Hunt,b2b4,
A00,"Birmingham Gambit, Polish",b2b4 c7c5,
A00,"Outflank Variation, Polish",b2b4 c7c6,
A00,"Schuhler Gambit, Polish",b2b4 c7c6 c1b2 a7a5 b4b5 c6b5 e2e4,
A00,"Myers Variation, Polish",b2b4 d7d5 c1b2 c7c6 a2a4,
A00,"Bugayev Attack, Polish",b2b4 e7e5 a2a3,
A00,"Wolferts Gambit, Polish",b2b4 e7e5 c1b2 c7c5,
A00,Schiffler-Sokolsky; Tartakower Gambit,b2b4 e7e5 c1b2 f7f6 e2e4 f8b4,
